collectorId,phoneHash,preferredLanguage,operatingDistrict,operatingState,createdAt,lifetimeEarningsInr,pendingDuesInr,completedTransactions
COL_0001,syn_0a4ef9f6d8bacbbc9326ef368ff276b458884c0e324eadce33daac75,hi,Nashik,Maharashtra,2025-12-20T00:00:00.000Z,56374.88,8944.67,28
COL_0002,syn_2b211a2f9d056474b03a1cb94f1b7be36ba85ed9e27cb8f6581a38e6,mr,Mumbai Suburban,Maharashtra,2025-11-24T00:00:00.000Z,50765.41,2990.82,16
COL_0003,syn_dcc5fd7b2a2504c3bd846b081522f399ed016cd53f6d2e994342cb6b,hi,Pune,Maharashtra,2025-09-22T00:00:00.000Z,49765.19,6179.53,12
COL_0004,syn_315bcd801cb1241e8cd3abf1aa98e906001ffeb8865340bbeb3e3345,mr,Pune,Maharashtra,2026-03-20T00:00:00.000Z,70345.45,14941.34,16
COL_0005,syn_19cb3c699798a72f4bc13efaf80ad8bae78ea1e59090af3a702a3aeb,hi,Nagpur,Maharashtra,2026-06-02T00:00:00.000Z,19554.98,11941.09,8
COL_0006,syn_3fc1624bf9dc3104c8eba5e60e0946c431ed8a0a13d8b10be36b50de,mr,Mumbai Suburban,Maharashtra,2025-11-09T00:00:00.000Z,31998.13,1224.09,15
COL_0007,syn_62978dcd3143d1aaf6dbeecd521ab78953e4ebf2b6dde6c18d4584d5,en,Thane,Maharashtra,2026-02-14T00:00:00.000Z,54846.11,7386.86,18
COL_0008,syn_4eae356471198c81a09fa2d8b496a833a90b6497e8ba8c3334b8e78b,hi,Nashik,Maharashtra,2026-02-18T00:00:00.000Z,72700.49,14177.92,20
COL_0009,syn_bdeccc462722fe65148199963be8c6beadb16f9f2daea71b4f06c685,en,Nashik,Maharashtra,2026-06-10T00:00:00.000Z,67524.28,10419.17,27
COL_0010,syn_a2ff52425c27612d5886867d30d86749dd1260504621c65e5b58f7c3,hi,Pune,Maharashtra,2026-02-18T00:00:00.000Z,59909.78,6317.21,22
COL_0011,syn_bed18b2ce0892d80ecda6b51e13b4d503fdc9bbca44b0470b5645b48,hi,Nagpur,Maharashtra,2026-06-23T00:00:00.000Z,20735.25,220.64,11
COL_0012,syn_fb4ee45676b718c7640cec442e01dd2457c2946628f9c3f4f4a937cf,mr,Pune,Maharashtra,2025-11-12T00:00:00.000Z,54083.59,2827.93,23
COL_0013,syn_897394cb2925b314cfd78248a91df29af1f3396a48aabe5b7c2328d6,mr,Bengaluru Urban,Karnataka,2026-04-04T00:00:00.000Z,67986.53,9064.93,13
COL_0014,syn_c82b2b4d50d858dc34337f6a71bcb99926e26c1cefcb9bfaa1b67459,hi,Pune,Maharashtra,2025-10-05T00:00:00.000Z,32970.89,9581,14
COL_0015,syn_22e00139bc428eeef2e0fe4d16efd693fbe0a97e88c1b31a633aea96,mr,Chhatrapati Sambhajinagar,Maharashtra,2026-03-11T00:00:00.000Z,21471.91,1408.39,9
COL_0016,syn_c0ac3ea7c8f800262b2f54daa930cf3e692695d07bf6cd805f453d27,hi,Mumbai Suburban,Maharashtra,2026-03-28T00:00:00.000Z,74152.29,20655.1,25
COL_0017,syn_5122b82cb58d742e2c1bca8b8633eefc1f3fe4f24b2022c2ac80b2c2,hi,Thane,Maharashtra,2025-11-25T00:00:00.000Z,82072.44,1792.65,24
COL_0018,syn_bc2974c10c8eceb4949cc8f73c47b343001d88771babb93ae19e8697,mr,Mumbai Suburban,Maharashtra,2025-09-06T00:00:00.000Z,29785.1,0,9
COL_0019,syn_3f029081f5ab1538c83285070c9ece49dbeaad2b595e3427524bafb5,mr,Thane,Maharashtra,2026-03-12T00:00:00.000Z,70230.71,22946.17,20
COL_0020,syn_63a2eb86d3709d7708e3ccb9bcc0fbe1bffaa4af9cb1f25167f632ec,hi,Thane,Maharashtra,2026-06-20T00:00:00.000Z,86146.87,141.66,17
COL_0021,syn_8999f010f25f47a04cd589c028ca299640363979ec925d189f0920ab,mr,Pune,Maharashtra,2026-06-20T00:00:00.000Z,28231.24,24268.04,14
COL_0022,syn_74f793c639999ba2f97d45c04521d81e1298a7b670ccb9d9beea413a,mr,Mumbai Suburban,Maharashtra,2025-12-29T00:00:00.000Z,50933.53,855.28,15
COL_0023,syn_44e0221bd296f73fd03a74c4dd0a24f64cb7ef3dd903a878e7c266fc,mr,New Delhi,Delhi,2026-03-30T00:00:00.000Z,26358.81,11211.33,13
COL_0024,syn_3b90d873316321801267b5153d4a14b9a70e745777ecc59bf78f03f5,mr,Mumbai Suburban,Maharashtra,2026-07-25T00:00:00.000Z,41163.11,0,15
COL_0025,syn_891f228aa0e0a723bc68132d4287485679748b0b1fdb3c5655a50876,hi,Pune,Maharashtra,2026-01-09T00:00:00.000Z,66732.36,11878.17,13
COL_0026,syn_a01d0f0d9e9ed5f91e430c390543107c66ee97e42d462c19b7ff084b,hi,New Delhi,Delhi,2025-11-17T00:00:00.000Z,12910.08,0,6
COL_0027,syn_81b94d6fb3389a5a3ea566eaa2563b8647f1f70af920b08d89013b3e,mr,Nashik,Maharashtra,2026-07-28T00:00:00.000Z,34754.88,15355.26,25
